"filename", "language", "JSON with Comments", "JavaScript", "Markdown", "CSS", "JSON", "XML", "JavaScript JSX", "Properties", "comment", "blank", "total"
"c:\Users\Jyotindra\Desktop\My Projects\pizza-webshop\.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5
"c:\Users\Jyotindra\Desktop\My Projects\pizza-webshop\.eslintrc.json", "JSON with Comments", 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Jyotindra\Desktop\My Projects\pizza-webshop\README.md", "Markdown", 0, 0, 20, 0, 0, 0, 0, 0, 0, 15, 35
"c:\Users\Jyotindra\Desktop\My Projects\pizza-webshop\components\Add.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 132, 0, 0, 10, 142
"c:\Users\Jyotindra\Desktop\My Projects\pizza-webshop\components\AddButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 9, 0, 0, 3, 12
"c:\Users\Jyotindra\Desktop\My Projects\pizza-webshop\components\Featured.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 48, 0, 0, 5, 53
"c:\Users\Jyotindra\Desktop\My Projects\pizza-webshop\components\Footer.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 271, 0, 0, 30, 301
"c:\Users\Jyotindra\Desktop\My Projects\pizza-webshop\components\Layout.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\Jyotindra\Desktop\My Projects\pizza-webshop\components\Navbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 41, 0, 1, 3, 45
"c:\Users\Jyotindra\Desktop\My Projects\pizza-webshop\components\OrderDetail.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 47, 0, 0, 5, 52
"c:\Users\Jyotindra\Desktop\My Projects\pizza-webshop\components\PizzaCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 66, 0, 2, 8, 76
"c:\Users\Jyotindra\Desktop\My Projects\pizza-webshop\components\PizzaList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 77, 0, 5, 14, 96
"c:\Users\Jyotindra\Desktop\My Projects\pizza-webshop\models\Order.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 0, 0, 3, 32
"c:\Users\Jyotindra\Desktop\My Projects\pizza-webshop\models\Product.js", "JavaScript", 0, 34, 0, 0, 0, 0, 0, 0, 0, 3, 37
"c:\Users\Jyotindra\Desktop\My Projects\pizza-webshop\next.config.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\Jyotindra\Desktop\My Projects\pizza-webshop\package-lock.json", "JSON", 0, 0, 0, 0, 10970, 0, 0, 0, 0, 1, 10971
"c:\Users\Jyotindra\Desktop\My Projects\pizza-webshop\package.json", "JSON", 0, 0, 0, 0, 31, 0, 0, 0, 0, 1, 32
"c:\Users\Jyotindra\Desktop\My Projects\pizza-webshop\pages\_app.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\Jyotindra\Desktop\My Projects\pizza-webshop\pages\admin\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 133, 0, 0, 11, 144
"c:\Users\Jyotindra\Desktop\My Projects\pizza-webshop\pages\admin\login.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 44, 0, 0, 5, 49
"c:\Users\Jyotindra\Desktop\My Projects\pizza-webshop\pages\api\login.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 0, 0, 3, 26
"c:\Users\Jyotindra\Desktop\My Projects\pizza-webshop\pages\api\orders\[id].js", "JavaScript", 0, 30, 0, 0, 0, 0, 0, 0, 0, 5, 35
"c:\Users\Jyotindra\Desktop\My Projects\pizza-webshop\pages\api\orders\index.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 0, 0, 5, 28
"c:\Users\Jyotindra\Desktop\My Projects\pizza-webshop\pages\api\products\[id].js", "JavaScript", 0, 43, 0, 0, 0, 0, 0, 0, 0, 6, 49
"c:\Users\Jyotindra\Desktop\My Projects\pizza-webshop\pages\api\products\index.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 0, 3, 6, 32
"c:\Users\Jyotindra\Desktop\My Projects\pizza-webshop\pages\cart.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 180, 0, 4, 8, 192
"c:\Users\Jyotindra\Desktop\My Projects\pizza-webshop\pages\index.js", "JavaScript", 0, 39, 0, 0, 0, 0, 0, 0, 0, 5, 44
